player_name,age,team_abbreviation,draft_round,draft_number,player_height,player_weight,ptsseason1,ptsseason2,ptsseason3,ptsseason4,ptsseason5
Brook Lopez,21,BKN,1,10,213.36,117.93392,13,18.8,20.4,19.2,19.4
Bruce Brown,22,DET,2,42,195.58,91.625584,4.3,8.9,8.8,9,11.5
Bruno Caboclo,19,TOR,1,20,205.74,92.98636,1.3,0.5,1.6,2.2,8.3
Bruno Sundov,19,DAL,2,35,218.44,99.79024,1.3,1.9,3.9,1.5,1.2
Bryce Drew,24,HOU,1,16,190.5,83.91452,3.5,5.8,6.3,3.4,1.5
Buddy Hield,23,SAC,1,6,193.04,97.068688,10.6,13.5,20.7,19.2,16.6
Byron Mullens,21,OKC,1,24,213.36,124.7378,1.1,1.9,9.3,10.6,4.2
CJ McCollum,22,POR,1,10,193.04,90.7184,5.3,6.8,20.8,23,21.4
CJ Miles,19,UTA,2,34,198.12,95.25432,3.4,2.7,5,9.1,9.9
Calvin Booth,24,WAS,2,35,210.82,109.315672,3.8,5.3,6.2,2.9,4.9
Cameron Payne,21,OKC,1,14,190.5,83.91452,5,5.2,8.8,6.3,10.9
Caris LeVert,22,BKN,1,20,200.66,92.079176,8.2,12.1,13.7,18.7,20.2
Carl Landry,24,HOU,2,31,205.74,112.490816,8.1,9.2,16.8,11.9,12.5
Carlos Boozer,21,CLE,2,34,205.74,127.00576,10,15.5,17.8,16.3,20.9
Carmelo Anthony,20,DEN,1,3,203.2,99.79024,21,20.8,26.5,28.9,25.7
Caron Butler,23,MIA,1,10,200.66,98.429464,15.4,9.2,15.5,17.6,19.1
Cedric Henderson,23,CLE,2,44,200.66,97.52228,10.1,9.1,5.4,4.3,3
Chandler Parsons,23,HOU,2,38,205.74,102.965384,9.5,15.5,16.6,15.7,13.7
Channing Frye,23,NYK,1,8,210.82,112.490816,12.3,9.5,6.8,4.2,11.2
Charlie Villanueva,21,TOR,1,7,210.82,108.86208,13,11.8,11.7,16.2,11.9
Chase Budinger,22,HOU,2,44,200.66,98.883056,8.9,9.8,9.6,9.4,6.7
Chauncey Billups,21,TOR,1,3,190.5,91.625584,11.2,13.9,8.6,9.3,12.5
Chimezie Metu,22,SAS,2,49,208.28,102.0582,1.8,3.2,6.3,8.9,4.9
Chris Bosh,20,TOR,1,4,208.28,95.25432,11.5,16.8,22.5,22.6,22.3
Chris Crawford,23,ATL,2,50,205.74,106.59412,3.8,6.9,4.6,6.8,7.6
Chris Duhon,22,CHI,2,38,185.42,83.91452,5.9,8.7,7.2,5.8,11.1
Chris Kaman,22,LAC,1,6,213.36,121.562656,6.1,9.1,11.9,10.1,15.7
Chris Mihm,21,CLE,1,7,215.9,120.20188,7.6,7.7,5.9,6.3,9.8
Chris Paul,21,NOP,1,4,182.88,79.3786,16.1,17.3,21.1,22.8,18.7
Chris Wilcox,20,LAC,1,8,208.28,100.243832,3.7,8.6,7.9,8.1,13.5
Clint Capela,21,HOU,1,25,208.28,108.86208,2.7,7,12.6,13.9,16.6
Cody Zeller,21,CHA,1,4,213.36,108.86208,6,7.6,8.7,10.3,7.1
Cole Aldrich,22,OKC,1,11,210.82,111.13004,1,2.2,2.2,2,5.5
Collin Sexton,20,CLE,1,8,187.96,86.18248,16.7,20.8,24.3,16,14.3
Corey Brewer,22,MIN,1,7,205.74,83.91452,5.8,6.2,13,8,8.9
Corey Maggette,20,ORL,1,13,198.12,98.883056,8.4,10,11.4,16.8,20.7
Cory Joseph,20,SAS,1,29,190.5,83.91452,2,4.5,5,6.8,8.5
Courtney Lee,23,ORL,1,22,195.58,90.7184,8.4,12.5,8.3,11.4,7.8
Craig Smith,23,MIN,2,36,200.66,123.377024,7.4,9.4,10.1,7.8,5.4
Cuttino Mobley,23,HOU,2,41,193.04,86.18248,9.9,15.8,19.5,21.7,17.5
D'Angelo Russell,20,LAL,1,2,195.58,88.45044,13.2,15.6,15.5,21.1,23.1
D.J. Augustin,21,CHA,1,9,182.88,81.64656,11.8,6.4,14.4,11.1,4.7
D.J. Wilson,22,MIL,1,17,208.28,107.047712,1,5.8,3.6,5.2,7.5
DJ White,22,OKC,1,29,205.74,113.851592,8.9,4.9,5.7,6.8,2.4
Daequan Cook,21,MIA,1,21,195.58,92.98636,8.8,9.1,5,5.6,5.5
Dahntay Jones,23,MEM,1,20,198.12,95.25432,1.8,4.5,4,7.5,3.2
Damian Jones,22,GSW,1,30,213.36,111.13004,1.9,1.7,5.4,5.6,4.7
Damian Lillard,22,POR,1,6,190.5,88.45044,19,20.7,21,25.1,27
Damyean Dotson,24,NYK,2,44,195.58,95.25432,4.1,10.7,6.7,6.7,2
Dan Dickau,24,ATL,1,28,182.88,86.18248,3.7,2.2,12.5,3.3,3.3
Dan Gadzuric,25,MIL,2,33,210.82,108.86208,3.4,5.7,7.3,5.2,4.8
Daniel Gibson,21,CLE,2,42,187.96,86.18248,4.6,10.4,7.8,6.3,11.6
Danilo Gallinari,20,NYK,1,6,208.28,102.0582,6.1,15.1,15.6,14.6,16.2
Danny Fortson,22,DEN,1,10,200.66,117.93392,10.2,11,7.6,16.7,11.2
Danny Granger,23,IND,1,17,205.74,103.418976,7.5,13.9,19.6,25.8,24.1
Danny Green,23,CLE,2,46,198.12,95.25432,2,5.1,9.1,10.5,9.1
Dante Cunningham,23,POR,2,33,203.2,104.32616,3.9,6.2,5.2,8.7,6.3
Darius Miles,19,LAC,1,3,205.74,91.625584,9.4,9.5,9.2,10.9,12.8
Darko Milicic,19,DET,1,2,213.36,111.13004,1.4,1.8,4.8,8,7.2
Darren Collison,22,NOP,1,21,182.88,72.57472,12.4,13.2,10.4,12,11.4
David Lee,23,NYK,1,30,205.74,112.944408,5.1,10.7,10.8,16,20.2
David West,23,NOP,1,18,205.74,108.86208,3.8,6.2,17.1,18.3,20.6
De'Aaron Fox,20,SAC,1,5,190.5,79.3786,11.6,17.3,21.1,25.2,23.2
De'Anthony Melton,21,PHX,2,46,193.04,90.7184,5,7.6,9.1,10.8,10.1
DeAndre Jordan,20,LAC,2,35,210.82,113.398,4.3,4.8,7.1,7.4,8.8
DeAndre' Bembry,22,ATL,1,21,198.12,95.25432,2.7,5.2,8.4,5.8,5.7
DeJuan Blair,21,SAS,2,37,200.66,120.20188,7.8,8.3,9.5,5.4,6.4
DeMar DeRozan,20,TOR,1,9,200.66,99.79024,8.6,17.2,16.7,18.1,22.7
